id,ticker,name,marketCap
119,047810,한국항공우주,29924
120,196170,알테오젠,29880
121,010620,현대미포조선,29876
122,272210,한화시스템,29849
123,028670,팬오션,29615
124,012750,에스원,29373
125,298050,효성첨단소재,29343
126,088350,한화생명,28965
127,138930,BNK금융지주,28682
128,204320,만도,28315
129,051915,LG화학우,27948
130,010060,OCI,27784
131,030000,제일기획,27782
132,039490,키움증권,27530
133,253450,스튜디오드래곤,27492
134,023530,롯데쇼핑,27355
135,002380,KCC,27103
136,282330,BGF리테일,26530
137,006280,녹십자,26470
138,001040,CJ,26434
139,042660,대우조선해양,26178
140,285130,SK케미칼,25814
141,112610,씨에스윈드,25471
142,047050,포스코인터내셔널,24736
143,047040,대우건설,24729
144,000880,한화,24399
145,067160,아프리카TV,24207
146,005385,현대차우,23893
147,012510,더존비즈온,23303
148,271940,일진하이솔루스,23276
149,375500,DL이앤씨,23230
150,298020,효성티앤씨,22979
151,001450,현대해상,22975
152,000080,하이트진로,22933
153,064350,현대로템,22919
154,093370,후성,22873
155,081660,휠라홀딩스,22599
156,004170,신세계,22545
157,012450,한화에어로스페이스,22226
158,009240,한샘,21980
159,120110,코오롱인더,21767
160,357780,솔브레인,21297
161,025900,동화기업,21292
162,011210,현대위아,21076
163,004000,롯데정밀화학,21027
164,000150,두산,20985
165,240810,원익IPS,20713
166,004800,효성,20502
167,005290,동진쎄미켐,19768
168,078340,컴투스,19762
169,019170,신풍제약,19313
170,051600,한전KPS,18765
171,111770,영원무역,18632
172,237690,에스티팜,18488
173,145020,휴젤,18253
174,108320,LX세미콘,18085
175,078600,대주전자재료,18081
176,017800,현대엘리베이,18060
177,035900,JYP Ent.,17961
178,181710,NHN,17901
179,004370,농심,17791
180,069960,현대백화점,17715
181,006260,LS,17677
182,042700,한미반도체,17657
183,041510,에스엠,17628
184,003090,대웅,17617
185,299900,위지윅스튜디오,17520
186,010120,LS ELECTRIC,17310
187,348370,엔켐,17268
188,007310,오뚜기,16946
189,175330,JB금융지주,16881
190,140410,메지온,16750
191,381970,케이카,16686
192,195940,HK이노엔,16677
193,032500,케이엠더블유,16585
194,007700,F&F홀딩스,16447
195,048260,오스템임플란트,16442
196,139130,DGB금융지주,16407
197,001440,대한전선,16358
198,005850,에스엘,16340
199,014820,동원시스템즈,16257
200,376300,디어유,16120
201,178920,PI첨단소재,16034
202,069620,대웅제약,15699
203,064760,티씨케이,15691
204,095700,제넥신,15618
205,294870,HDC현대산업개발,15389
206,000240,한국앤컴퍼니,15189
207,001230,동국제강,15173
208,300720,한일시멘트,15168
209,950210,프레스티지바이오파마,15084
210,144510,지씨셀,15024
211,213420,덕산네오룩스,14862
212,020560,아시아나항공,14696
213,009900,명신산업,14639
214,089860,롯데렌탈,14598
215,005070,코스모신소재,14441
216,060250,NHN한국사이버결제,14089
217,330590,롯데리츠,13824
218,383310,에코프로에이치엔,13805
219,039030,이오테크닉스,13736
