,index,날짜,시가,고가,저가,종가,거래량,거래대금,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch
4199,4199,2017-12-20,765.62,766.4,755.25,755.27,1404709357,6666810631399,-1.444516530512263,766.824,772.4805,721.1343333333333,98.49326572981545,97.77204732028834,104.7336071920026,13.732060249050429,799.9446204981009,745.0163795018991,758.7133333333333,0,1065771718613,0.794968788614951,44.28872488798937,0
4200,4200,2017-12-21,754.54,759.13,740.31,740.32,1208944780,6012574025682,-2.019397017505934,760.818,769.6565,722.3388333333334,97.30579455270512,96.18836454964,102.48929807410327,14.264752760392682,798.1860055207854,741.1269944792147,745.0566666666667,0,900732367970,0.6064334070730647,37.750298543528885,0
4201,4201,2017-12-22,742.15,761.2,740.05,761.2,1083314337,6109609814698,2.743037309511297,758.6940000000001,768.0795,724.007,100.33030444421598,99.10432448724383,105.13710502799007,13.288511252775127,794.6565225055504,741.5024774944497,747.7999999999998,810102461208,0,0.628824335723642,38.606025335707706,0
4202,4202,2017-12-26,763.96,775.54,762.21,762.21,808319946,6655118682938,0.13250941341624892,757.0360000000001,766.55,725.8946666666667,100.68345494798135,99.43382688670016,105.00283787730451,11.990493163966685,790.5309863279333,742.5690136720666,762.7933333333334,616581066009,0,0.7814648275048296,43.86641910855863,0
4203,4203,2017-12-27,771.33,791.95,770.95,791.95,829592883,6696253531687,3.755287581286698,762.1899999999999,767.4915,728.3931666666667,103.90453823849697,103.18681053796688,108.72562185394838,13.210707887697733,793.9129157753954,741.0700842246046,778.0766666666668,645486865095,0,0.9849255941283769,49.62027781000419,0
4204,4204,2017-12-28,791.76,798.68,790.34,798.42,1066158680,6670795864435,0.8103504421231824,770.82,768.3264999999999,730.9935,103.58060247528604,103.91675934644972,109.22395342776645,14.61093796295216,797.5483759259042,739.1046240740956,793.5066666666667,846004020304,0,1.3786585421561446,57.959497663185154,0
4205,4205,2018-01-02,803.63,813.4,800.54,812.45,989203617,6648960277501,1.7268755000307816,785.2460000000001,770.3779999999999,733.7136666666668,103.4643920503893,105.46121514373465,110.73120713302782,17.635566813727507,805.649133627455,735.1068663725449,805.54,796843081638,0,1.8689722593649574,65.14431268075947,0
4206,4206,2018-01-03,816.3,824.18,812.22,822.31,1203095708,8157559996171,1.199061181306308,797.4680000000001,772.1085,736.6173333333334,103.11510932100094,106.50187117484136,111.63326774824738,20.832969132941134,813.7744382658823,730.4425617341178,816.9433333333333,982861018012,0,1.9643760472886675,66.26608824090863,0
4207,4207,2018-01-04,825.11,825.57,802.83,808.01,1346453484,8340291400536,-1.7697800769792396,806.6279999999999,773.3865,739.2038333333334,100.17133052658724,104.47686893939836,109.30814527251505,22.23740903947253,817.861318078945,728.9116819210549,811.9833333333332,0,1093297788116,1.397605289839195,58.291716979525475,0
4208,4208,2018-01-05,812.05,828.04,812.05,828.03,1229153086,7724099120980,2.417786795164424,813.844,776.0820000000001,742.0945,101.74308589852599,106.69362258111899,111.58012894584179,25.376744969804516,826.8354899396091,725.3285100603911,817.3766666666667,1004681052257,0,1.4224000236704986,58.7186265592597,0
4209,4209,2018-01-08,836.07,840.06,829.28,839.51,1228984892,8578445601327,1.3674643542066227,822.0619999999999,779.638,745.0478333333333,102.12246764842557,107.67946149366756,112.67867141416201,28.970625885711677,837.5792517714234,721.6967482285767,834.9533333333333,1026145032191,0,1.474158560711204,59.582218541703035,0
4210,4210,2018-01-09,841.39,843.56,827.29,829.99,1195954570,9531279021307,-1.1470017711056737,825.57,783.4645,747.772,100.53538767154812,105.9384311605695,110.99506266616027,30.352178708747797,844.1688574174956,722.7601425825045,832.89,0,996098601807,1.4217560783529617,58.70764983564733,0
4211,4211,2018-01-10,837.63,841.25,820.89,834.91,1104147489,7595330711354,0.5892850726425554,828.0899999999999,788.0070000000001,750.6358333333334,100.82358197780434,105.95210448638146,111.2270375226336,30.937185103118306,849.8813702062366,726.1326297937635,831.1433333333333,0,917704824499,1.0739285400708642,51.78233093962673,0
4212,4212,2018-01-11,835.23,852.51,830.37,852.51,1288804770,7951882909187,2.064491912118336,836.99,792.4280000000001,753.8541666666666,101.85426349179798,107.58201376024066,113.08685919579938,33.54712970700012,859.5222594140004,725.3337405859999,839.3699999999999,1081784059794,0,1.5703877135022677,61.095363366896294,0
4213,4213,2018-01-12,863.07,886.65,857.33,873.05,1180746454,12084008656944,2.3526716682893265,845.994,798.0604999999999,757.2298333333333,103.1981314288281,109.39646806225845,115.29524611528115,37.150052273808576,872.3606045476171,723.7603954523828,864.4833333333332,1020735630375,0,2.2598772697678116,69.32399850528034,0
4214,4214,2018-01-15,879.56,892.29,865.68,891.61,1025675491,10722308761917,2.0816276174560695,856.414,804.03,760.9496666666666,104.10969461031698,110.89262838451302,117.17069328720385,42.048518466915084,888.1270369338301,719.9329630661698,878.9499999999999,901517472814,0,3.236586022784653,76.39608886443162,0
4215,4215,2018-01-16,889.23,901.23,884.76,901.23,1009399148,9951628317599,1.0674300677962345,870.662,810.574,764.8518333333334,103.5108917122833,111.18417319084995,117.83066480632087,46.48174462256375,903.5374892451275,717.6105107548724,891.7400000000001,900121596237,0,3.26652154161497,76.56170277716497,0
4216,4216,2018-01-17,902.37,905.95,884.91,886.58,1211998638,10481404984026,-1.65241715355636,880.9959999999999,816.312,768.4123333333334,100.63382807640447,108.60798322210137,115.37815851472104,48.48605101632049,913.2841020326409,719.3398979673591,891.2866666666667,0,1080238226067,2.2523648849716267,69.25314239430045,0
